formulation,axis,slice_direction,coordinate_m,x_m,y_m,u_parallel_m_s,u_tangential_m_s,u_x_m_s,u_y_m_s
brinkman_usfem_pkpk_k1,x,flux,0.00026189729999999997,0.00026189729999999997,0.00036505,3.5356379926881195e-07,2.6799633354422974e-07,3.5356379926881195e-07,2.6799633354422974e-07
brinkman_usfem_pkpk_k1,x,flux,0.0002642962,0.0002642962,0.00036505,2.5138809855218725e-07,1.9008846604481325e-07,2.5138809855218725e-07,1.9008846604481325e-07
brinkman_usfem_pkpk_k1,x,flux,0.0002666951,0.0002666951,0.00036505,1.4921239783556252e-07,1.1218059854539685e-07,1.4921239783556252e-07,1.1218059854539685e-07
brinkman_usfem_pkpk_k1,x,flux,0.000269094,0.000269094,0.00036505,4.70366971189377e-08,3.4272731045980306e-08,4.70366971189377e-08,3.4272731045980306e-08
brinkman_usfem_pkpk_k1,x,flux,0.0002714929,0.0002714929,0.00036505,-3.5313232630126564e-08,-3.169631374881245e-08,-3.5313232630126564e-08,-3.169631374881245e-08
brinkman_usfem_pkpk_k1,x,flux,0.00027389179999999996,0.00027389179999999996,0.00036505,1.450864407120725e-08,-1.8073207179450867e-08,1.450864407120725e-08,-1.8073207179450867e-08
brinkman_usfem_pkpk_k1,x,flux,0.00027629069999999997,0.00027629069999999997,0.00036505,6.433052077254218e-08,-4.450100610088973e-09,6.433052077254218e-08,-4.450100610088973e-09
brinkman_usfem_pkpk_k1,x,flux,0.0002786896,0.0002786896,0.00036505,1.1415239747387711e-07,9.173005959272913e-09,1.1415239747387711e-07,9.173005959272913e-09
brinkman_usfem_pkpk_k1,x,flux,0.0002810885,0.0002810885,0.00036505,1.6397427417521202e-07,2.27961125286348e-08,1.6397427417521202e-07,2.27961125286348e-08
brinkman_usfem_pkpk_k1,x,flux,0.0002834874,0.0002834874,0.00036505,4.1851137422903656e-07,4.6253021340671714e-07,4.1851137422903656e-07,4.6253021340671714e-07
brinkman_usfem_pkpk_k1,x,flux,0.0002858863,0.0002858863,0.00036505,7.299138141029963e-07,1.0206284793705554e-06,7.299138141029963e-07,1.0206284793705554e-06
brinkman_usfem_pkpk_k1,x,flux,0.0002882852,0.0002882852,0.00036505,1.0413162539769562e-06,1.5787267453343942e-06,1.0413162539769562e-06,1.5787267453343942e-06
brinkman_usfem_pkpk_k1,x,flux,0.00029068409999999996,0.00029068409999999996,0.00036505,1.3527186938509089e-06,2.1368250112982198e-06,1.3527186938509089e-06,2.1368250112982198e-06
brinkman_usfem_pkpk_k1,x,flux,0.00029308299999999997,0.00029308299999999997,0.00036505,1.523066307547064e-06,2.366538305693312e-06,1.523066307547064e-06,2.366538305693312e-06
brinkman_usfem_pkpk_k1,x,flux,0.0002954819,0.0002954819,0.00036505,1.5100426472120606e-06,2.1693511370490013e-06,1.5100426472120606e-06,2.1693511370490013e-06
brinkman_usfem_pkpk_k1,x,flux,0.0002978808,0.0002978808,0.00036505,1.4970189868770567e-06,1.972163968404691e-06,1.4970189868770567e-06,1.972163968404691e-06
brinkman_usfem_pkpk_k1,x,flux,0.0003002797,0.0003002797,0.00036505,1.483995326542053e-06,1.7749767997603795e-06,1.483995326542053e-06,1.7749767997603795e-06
brinkman_usfem_pkpk_k1,x,flux,0.0003026786,0.0003026786,0.00036505,1.4454921694909448e-06,1.5641461896904345e-06,1.4454921694909448e-06,1.5641461896904345e-06
brinkman_usfem_pkpk_k1,x,flux,0.00030507749999999996,0.00030507749999999996,0.00036505,1.1394542969207355e-06,1.2100594446513121e-06,1.1394542969207355e-06,1.2100594446513121e-06
brinkman_usfem_pkpk_k1,x,flux,0.00030747639999999997,0.00030747639999999997,0.00036505,8.334164243505195e-07,8.559726996121817e-07,8.334164243505195e-07,8.559726996121817e-07
brinkman_usfem_pkpk_k1,x,flux,0.0003098753,0.0003098753,0.00036505,5.273785517803036e-07,5.018859545730513e-07,5.273785517803036e-07,5.018859545730513e-07
brinkman_usfem_pkpk_k1,x,flux,0.0003122742,0.0003122742,0.00036505,2.2134067921008754e-07,1.4779920953392092e-07,2.2134067921008754e-07,1.4779920953392092e-07
